T0,T2,T1,lagT0,lagT1,lagT2,reponseT1,reponseT2,related
CAFÉ,XXXTÉXX,7777777,7,3,10,f,j,1
NOTA,XCURSOX,5555555,10,1,9,f,j,1
GRANJA,GRANERO,8888888,7,1,12,j,j,1
LARGO,XCORTOX,6666666,7,3,10,j,j,1
MUCHOS,XPOCOSX,5555555,7,7,6,f,j,1
TEATRO,XDRAMAX,4444444,7,7,6,j,j,1
ABAJO,XARRIBA,8888888,10,1,9,j,j,1
VAQUEROS,XINDIOS,6666666,10,3,7,j,j,1
CHICO,XCHICAX,5555555,7,3,10,f,j,1
AHORA,ENTONCES,8888888,7,3,10,j,j,1
ESPECIA,XHIERBA,2222222,10,1,9,j,j,1
PRIMERO,XÚLTIMO,7777777,7,1,12,f,j,1
SAUNA,PISCINA,2222222,10,3,7,j,j,1
TIRITA,XVENDAX,8888888,7,7,6,j,j,1
VISTA,XXOIDOX,3333333,7,7,6,f,j,1
CABALLO,XXPONIX,4444444,7,1,12,j,j,1
TIZA,PIZARRA,9999999,7,3,10,f,j,1
ZUMO,XPULPAX,2222222,10,1,9,j,j,1
ENSEÑA,APRENDE,6666666,10,1,9,j,j,1
TORO,XXBUEYX,6666666,7,7,6,j,j,1
ACNÉ,XGRANOX,8888888,10,3,7,j,j,1
RUEDA,XLLANTA,5555555,7,1,12,f,j,1
USADO,XNUEVOX,9999999,7,3,10,f,j,1
GINEBRA,XVODKAX,5555555,10,3,7,f,j,1
PELDAÑO,ESCALÓN,4444444,7,7,6,j,j,1
HONDO,XLLANOX,8888888,7,1,12,j,j,1
CALLE,AVENIDA,6666666,10,7,3,j,j,1
VENDER,COMPRAR,6666666,10,3,7,j,j,1
DEDOS,XXMANOX,8888888,10,7,3,j,j,1
PERDER,XHALLAR,6666666,7,1,12,j,j,1
RENTA,XCASERO,2222222,7,3,10,j,j,1
PASEAR,CAMINAR,6666666,10,3,7,j,j,1
JUGUETE,XMUÑECA,9999999,10,3,7,f,j,1
MAMÁ,XXPAPÁX,9999999,7,3,10,f,j,1
PINO,XROBLEX,9999999,10,7,3,f,j,1
GUSANO,LOMBRIZ,8888888,10,3,7,j,j,1
CARCEL,PRISIÓN,9999999,10,1,9,f,j,1
ÉL,XXELLAX,2222222,7,3,10,j,j,1
VISÓN,XXPELOX,9999999,7,3,10,f,j,1
ONZA,XLIBRAX,6666666,7,3,10,j,j,1
MÚSICA,CANCIÓN,2222222,10,3,7,j,j,1
ROPA,REMIENDO,7777777,7,7,6,f,j,1
CREAR,DISEÑAR,2222222,7,3,10,j,j,1
GASTAR,AHORRAR,8888888,7,7,6,j,j,1
TORPE,XHABILX,5555555,7,1,12,f,j,1
RELEVO,CARRERA,7777777,7,1,12,f,j,1
COLOR,XXROJOX,2222222,7,7,6,j,j,1
MUY,XMUCHOX,3333333,7,3,10,f,j,1
OLFATO,XGUSTOX,5555555,10,7,3,f,j,1
INICIO,XXFINXX,9999999,10,3,7,f,j,1
ROMPER,XRASGAR,3333333,7,7,6,f,j,1
TRISTE,XLLOROX,5555555,10,7,3,f,j,1
ECCEMA,XRASCAR,7777777,7,1,12,f,j,1
